Process,Rule,Description,Count,Timestamp
ESLint,storybook/prefer-pascal-case,N/A,42,2025-01-06 19:25:46
ESLint,storybook/no-redundant-story-name,N/A,2,2025-01-06 19:25:46
ESLint,no-console,"We don't want a bunch of console noise, but you can use the `logger` from `@superset-ui/core` when there's a reason to.",29,2025-01-06 19:25:46
ESLint,react/forbid-foreign-prop-types,N/A,2,2025-01-06 19:25:46
ESLint,@typescript-eslint/no-use-before-define,N/A,8,2025-01-06 19:25:46
ESLint,jest/no-disabled-tests,N/A,7,2025-01-06 19:25:46
ESLint,no-alert,N/A,1,2025-01-06 19:25:46
ESLint,@typescript-eslint/no-unused-vars,N/A,58,2025-01-06 23:17:11
ESLint,jest/expect-expect,N/A,77,2025-01-06 23:17:11
ESLint,react-prefer-function-component/react-prefer-function-component,We prefer function components to class-based components,77,2025-01-06 23:17:11
ESLint,react-hooks/exhaustive-deps,N/A,234,2025-01-06 23:17:11
ESLint,react/no-danger,N/A,3,2025-01-06 23:17:11
ESLint,testing-library/no-debugging-utils,N/A,2,2025-01-06 23:17:11
ESLint,storybook/prefer-pascal-case,N/A,42,2025-01-06 23:17:11
ESLint,storybook/no-redundant-story-name,N/A,2,2025-01-06 23:17:11
ESLint,no-console,"We don't want a bunch of console noise, but you can use the `logger` from `@superset-ui/core` when there's a reason to.",29,2025-01-06 23:17:11
ESLint,react/forbid-foreign-prop-types,N/A,2,2025-01-06 23:17:11
ESLint,@typescript-eslint/no-use-before-define,N/A,8,2025-01-06 23:17:11
ESLint,jest/no-disabled-tests,N/A,7,2025-01-06 23:17:11
ESLint,no-alert,N/A,1,2025-01-06 23:17:11
ESLint,@typescript-eslint/no-unused-vars,N/A,58,2025-01-06 23:50:27
ESLint,jest/expect-expect,N/A,77,2025-01-06 23:50:27
ESLint,react-prefer-function-component/react-prefer-function-component,We prefer function components to class-based components,77,2025-01-06 23:50:27
ESLint,react-hooks/exhaustive-deps,N/A,234,2025-01-06 23:50:27
ESLint,react/no-danger,N/A,3,2025-01-06 23:50:27
ESLint,testing-library/no-debugging-utils,N/A,2,2025-01-06 23:50:27
ESLint,storybook/prefer-pascal-case,N/A,42,2025-01-06 23:50:27
ESLint,storybook/no-redundant-story-name,N/A,2,2025-01-06 23:50:27
ESLint,no-console,"We don't want a bunch of console noise, but you can use the `logger` from `@superset-ui/core` when there's a reason to.",29,2025-01-06 23:50:27
ESLint,react/forbid-foreign-prop-types,N/A,2,2025-01-06 23:50:27
ESLint,@typescript-eslint/no-use-before-define,N/A,8,2025-01-06 23:50:27
ESLint,jest/no-disabled-tests,N/A,7,2025-01-06 23:50:27
ESLint,no-alert,N/A,1,2025-01-06 23:50:27
ESLint,@typescript-eslint/no-unused-vars,N/A,58,2025-01-06 23:50:47
ESLint,jest/expect-expect,N/A,77,2025-01-06 23:50:47
ESLint,react-prefer-function-component/react-prefer-function-component,We prefer function components to class-based components,77,2025-01-06 23:50:47
ESLint,react-hooks/exhaustive-deps,N/A,234,2025-01-06 23:50:47
ESLint,react/no-danger,N/A,3,2025-01-06 23:50:47
ESLint,testing-library/no-debugging-utils,N/A,2,2025-01-06 23:50:47
ESLint,storybook/prefer-pascal-case,N/A,42,2025-01-06 23:50:47
ESLint,storybook/no-redundant-story-name,N/A,2,2025-01-06 23:50:47
ESLint,no-console,"We don't want a bunch of console noise, but you can use the `logger` from `@superset-ui/core` when there's a reason to.",29,2025-01-06 23:50:47
ESLint,react/forbid-foreign-prop-types,N/A,2,2025-01-06 23:50:47
ESLint,@typescript-eslint/no-use-before-define,N/A,8,2025-01-06 23:50:47
ESLint,jest/no-disabled-tests,N/A,7,2025-01-06 23:50:47
ESLint,no-alert,N/A,1,2025-01-06 23:50:47
ESLint,@typescript-eslint/no-unused-vars,N/A,58,2025-01-06 23:51:18
ESLint,jest/expect-expect,N/A,77,2025-01-06 23:51:18
ESLint,react-prefer-function-component/react-prefer-function-component,We prefer function components to class-based components,77,2025-01-06 23:51:18
ESLint,react-hooks/exhaustive-deps,N/A,234,2025-01-06 23:51:18
